person	response
내 정신질환을 상담해주던 의사선생님이 돌아가셔서 정말 가슴아파.	속상하시겠어요. 돌아가신 사인이 뭔가요?
아프니까 도와줄 사람도 없고 힘들어.	형편없는 인간관계로 인해 외로움을 겪고 있으시군요 괜찮으시다면 제가 말동무가 되어 드릴게요.
늙어서 병이 오려나 해서 병원에 갔는데 단순 신경증이래.	그렇군요. 그래서 약처방은 받으셨나요?
암 환자인 남편이 내게 죽고 싶다는 말을 하는 순간 나도 너무 괴로웠어.	남편에게 죽고 싶다는 말을 들어서 힘드시겠어요.
내년 초에 결혼한다던 우리 아들이 아픈 나를 간호하겠다며 결혼을 포기했대.	아드님이 결혼까지 포기하고 병간호를 한다고 하셔서 속상하셨군요.
나는 내 지금 건강상태에 만족해.	나이가 들어도 건강하시다는 거죠?
육십 세에 불치병 판정을 받아 너무 충격이야.	그렇군요. 제가 위로해드릴게요.
난 평생 건강을 신경 쓰고 살아왔어.	방어적인 생활을 하고 계셨군요.
적금 만기 환급금이 제법 많네.	알뜰히 열심히 사셨군요.
노인정에서 친구들이 죽고 있어.	상심이 크시겠어요.
우리 손주들은 먼 곳에서 살고 있는데 옆집 할머니는 손주들과 살고 있어서 부럽고 질투가 나.	옆집할머니는 손주들하고 살고 있고 본인은 혼자 살아서 부럽고 그 마음 충분히 이해가 돼요.
살다가 이런 일이 있다니. 정말 믿어지질 않아.	왜요? 무슨 일인가요?
건강을 이제부터라도 지키려고.	건강이 안 좋나요?
오늘 집 근처 카페에 갔는데 나만 나이가 많고 다들 창창하더군.	카페에서 기분전환 하려고 하셨나봐요. 카페에서 젊은이들의 기를 많이 받아오셨나요?
만날 때마다 자식 자랑이나 손주 자랑을 늘어놓는 친구가 꼴불견이야.	만날 때마다 자식과 손주 자랑을 하는 친구가 꼴불견처럼 느껴지는군요. 앞으로 어떻게 할 건가요?
나는 대인관계가 참 좋은 것 같아.	네 그러실 것 같아요.
개인적으로 연금보험을 들어갔는데 내가 모르고 해약을 해버렸어.	많이 걱정 되겠어요.
관절 기능 문제로 정형외과를 일주일에 세 번이나 갔어.	정말 힘들었겠어요.
아파서 병원에서 지내는데 아무도 날 신경 안 써. 인생이 외로워서 슬퍼.	아픈데도 신경 써주는 이가 없어서 외로우시군요.
내 재정 상황을 보니 불안한 마음이 앞서.	무슨 일이었는지 구체적으로 말씀해주시겠어요?
내가 왜 암에 걸려서 이렇게 힘들어야 하는지 모르겠어.	왜 암에 걸려 힘들어야 하는지 모르시겠군요.
복지관에서 만난 이성친구가 있는데.	친구분이 많이 마음에 드셨나 봐요.
노인이 되고 몸이 아프니 외로워.	건강때문에 그런 생각을 하시나요.
남편이 아픈것도 눈치채지 못했다니. 내가 정말 바보같아.	가까운 분이 편찮으셔서 마음이 아프시군요.
요즘 사람들을 못 만나서 우울해.	왜 못만나세요?
만성질환 까지는 아닌대 대인관계가 안좋아.	무엇 때문에 그러시는건가요?
돈 쓰기가 너무 조심스러워.	왜 돈 쓰기가 조심스러우신가요?
손주들 과자 사주려고 나갔다가 다쳤는데 자식들은 왜 자꾸 다치냐며 핀잔을 주네.	손주들을 위해 행동하다가 그런 상황이 이어져서 많이 속상하실 것 같아요.
관절염으로 움직이는 것도 힘든데 병원에 데려다 준다는 사람이 한명 없어.	속상하시겠어요. 상태는 어떠세요?
요새 너무 외로워.	그렇게 생각하시는 이유가 있나요?
여든 살 나이로 점점 기운이 없어지는데 자녀들은 더 오래 살라고 말해서 혼란스러워.	많은 나이로 기운이 점점 없어지는데 자녀들은 더 오래 살라고 말해서 혼란스러우시군요.
돈이 없으니까 자꾸 남이 신경쓰여.	왜 신경쓰이나요?
길에서 담배를 피우다 경찰에 걸린 친구가 난동을 부리는데 너무 어이가 없어.	친구 때문에 어이가 없으셨군요.
요양원에 들어오고 사는 낙이 없어졌어.	어디가 많이 불편하신가 봐요.
주 할아버지가 나한테 이야기도 안하고 광진구로 이사를 갔어.	그랬어요? 속상하시겠어요.
몸이 아픈데 아내랑 자식들은 돈만 쓰고 나는 돌봐주지도 않아.	아픈데 아무도 돌봐주지 않아서 서러우시겠어요.
감기에 걸린 친구가 더 큰 병으로 옮겨졌대.	걱정이 되시겠어요. 어떻게 하면 친구가 더 건강해질 수 있을까요?
암에 걸렸어. 아직 하지 못한 것이 너무 많은데 어떻게 하면 좋지?	심적으로 육체적으로 많이 힘드시겠어요.
친구가 내 앞에서 금전적인 고민을 토로하는 이유는 일부러 나를 약 올리는 거야.	친구가 약 올린다고 생각하시군요. 고민이시겠어요.
이제 회사 일을 아들에게 물려줄까해.	은퇴 시기가 온거군요.
요즘 일하는 것이 부질없다는 생각이 많이 들어.	갑자기 회의적인 감정이 들게 된 계기가 있으신가요?
정년퇴임을 앞두고 있어서 그런지 다들 날 피하는 거 같아. 친하게 지내는 걸 어려워 해.	동료 분들이 친하게 지내는 걸 어려워하시는군요.
친구들한테 화가 나.	왜 그러세요?
나는 칠십 평생 운동도 하고 건강하게 밥을 먹었는데 폐암 진단을 받았어.	몸 관리를 잘했는데 병을 얻게 되어서 많이 속상하셨겠어요.
술자리가 재밌는 걸 어떡하겠어? 내가 병원에 따라 간다고 덜 아파지는 것도 아닌데 왜들 그러는지 모르겠어.	무슨 일인지 조금 더 자세히 말씀해 주시겠어요?
오늘 병원을 다녀온 뒤로 너무 혼란스러워.	무슨 일이 있으셨나요?
돈이 뭔지. 없으니까 다 떠나가는군.	많이 외로우신가 봐요. 생각하시는건 있나요?
부모님이 물려주신 땅을 팔지 않고 놔두었는데 최근 땅 값이 크게 올라 돈을 벌게 되었어.	가지고 있던 땅 값이 올라 돈을 벌어 기쁘군요.
지난해에 갑작스럽게 지인의 부고를 받은 적이 있어.	무척 놀라셨겠어요.
최 영감은 나에게 빌린 돈을 꼭 갚을 사람이라고 믿어.	최 영감님을 아주 신뢰하시는군요.
친구가 오늘 갑자기 집에 와서 당황스러웠어.	오늘 친구분이 집을 갑자기 오셔서 많이 당황스러우셨나보군요 그래서 오늘 뭐하고 보낼 생각이신가요?
남편이 내가 암이 나을 때까지 옆에서 병간호해 주겠대.	남편분이 병간호해 주시기로 하셨군요.
내가 요양 병원에 있다보니 큰 아들이 반 년만에 병문안을 온다네.	기쁘시겠어요.
지금 죽으면 너무 억울할 것 같아.	왜 죽음을 생각하세요?
요즘 집에서만 운동하고 있어.	왜 집에서만 운동하고 계세요?
사람들을 만나보려고 하는데 내가 장애가 있어서 나를 장애우라고 지칭하는게 싫어.	그렇군요. 장애우라는 말이 오히려 장애인들을 비하한다고 알고 있어요.
아내가 나 몰래 다른 돈을 모아서 관리하고 있었어.	아내가 몰래 다른 돈을 관리하고 있었다니 화가 나고 속상하셨겠어요.
내가 왜 한평생 애들 키운지 모르겠다. 정말 미쳐 버릴 것 같아. 내가 자식들에게 이것 밖에 안 되나? 내 암치료를 포기한대.	정말 상처받으시겠어요. 자녀분들은 무슨 이유로 그러셨나요?
자주 듣던 라디오에 내 사연을 적어 보냈는데 당첨돼서 받은 돈으로 병원비를 해결할 수 있어서 정말 기뻐.	라디오에 보낸 사연이 당첨돼서 받은 돈으로 병원비를 해결해서 기쁘시군요.
돈이 부족해서 노인 아르바이트를 신청했어. 그런데 이마저도 병을 이유로 거부당했어.	일자리마저 거절당하셔서 정말 속상하시겠어요. 기분은 어떠세요?
그동안 열심히 연습해온 마라톤 대회에서 옆집 김씨에게 일등을 뺏겨서 슬프고 비통해.	옆집 김씨에게 일등을 빼앗겨서 슬프고 비통한 마음이 드시는군요.
재정적으로 열등감이 들어.	왜 그러세요?
나는 그 사람 욕한 적 없는데 나보고 뒤에서 자기를 욕했다고 그러네. 억울해 죽겠어.	정말 억울하시겠어요. 무슨 오해가 있었나 봐요.
이제 나이가 드니 새로운 사람들이랑 만나는게 두렵네.	새로운 사람들과의 관계가 불편하시군요? 앞으론 새로운 사람들을 만나실때 어떻게 하실껀가요?
남편이 내가 천식으로 고생하는 것을 알면서도 천식치료제를 숨겨버렸어.	천식치료제를 숨겨버리다니 너무 힘드시겠어요.
종친회에서 이런 저런 의견을 냈는데 항렬에 밀려 무시당했어.	정말 상처받으셨겠어요.
나이가 드니 주위에 친구들이 점점 없어져서 불안해.	주위에 친구가 없어서 불안하시군요.
노인들을 위해 봉사하는 착한 청년들은 아마 다른 동네에는 없을 거야.	그렇게 청년들이 착한가요? 어떤 도움을 주었을까요?
나는 예순둘이라는 나이에도 주유소를 운영하고 있어.	많이 행복하시겠어요.
요즘 주변에서 나이 보인다는 얘기를 들었는데 그게 너무 상처받았던 것 같아.	나이 들어 보인다는 얘기에 속상하셨군요.
와 정말 다행이다.	좋은 일 있으신가봐요.
우리 집안 남자들은 탈모에 아주 취약해. 나도 탈모가 생길까 봐 걱정이네.	탈모로 인해서 많이 걱정하시고 계시는군요.
친구가 정말 성가시게 해.	친구분이 어떻게 하시는데요.
오늘 너무 억울한 일이 있었어!	무슨 일이 있으셨는지 자세히 말씀해 주실래요?
가족들을 위해 일하느라고 인생이 다 갔어.	가족 재정을 위해서 희생 된 기분이시군요.
추가적인 합병증이 생겨 내 지출 계획에 차질이 발생했어. 너무 짜증이 나.	예상치 못했던 지출 때문에 화가 나시겠어요.
게이트볼을 하게 됐는데 재밌는 취미를 새로 갖게 돼서 요새 아주 즐거워.	재미있는 취미를 찾으셨다니 아주 기쁘네요.
사업에 실패하고 뇌종양까지 생겨 힘든 시기를 보내고 있어. 가족들도 곁에서 지켜주지 않네.	사업에 실패하고 뇌종양까지 생겨 힘든 시기에 가족들도 곁에 없어 많이 외로우시겠어요.
모임에 가면 다들 나만 쳐다보는거 같아.	왜 그렇게 생각하시나요?
우리 손자가 내가 제일 좋다며 병이 빨리 나았으면 좋겠대.	할아버지께  그런 손자가 있으니 얼마나 행복하세요?
친구가 나를 위해 밥을 산다고 해도 나도 모르게 짜증이 나.	짜증이 난다니 많이 힘드시겠어요.
내가 죽음을 벌써 걱정하는 게 화나.	왜 벌써 걱정하세요?
병원에서 또 다른 병을 진단받았어.	건강이 좋지 않으신 것 같아요.
이번 모임중에 그 여자가 나에게 소리를 질렀어. 정말 별일이 아니었는데 말이야.	당황스러웠겠어요. 그 다음에는 어떻게 되었나요?
몸은 점점 늙어가고 죽음이 가까워진다는게 너무 슬퍼.	나이가 들고 몸이 약해져서 슬프시군요. 그러면 어떻게 해야 슬픔을 이겨낼 수 있을까요?
며느리에게 우울증 때문에 화낸 걸 사과하려고 하는데 그 이후로는 불러도 나를 무시해.	며느리가 무시해서 속상하시겠어요.
정년퇴직하고 만성질환은 없지만 재정이 불안해.	왜 불안하신가요.
나는 왜 이렇게 돈이 없을까.	이유를 모르시나요.
퇴직금을 받았는데 이제 어떻게 사용해야할까?	퇴직금을 어떻게 사용할지 고민 중이시군요.
죽음이 너무 싫어.	왜 그러세요?
옆집 철수엄마는 이번에 자식들한테 한우를 줬는데 나는 수중에 돈이 별로없어서 자식들한테 뭘 해주질 못했어.	자식에게 뭘 해주지 못해 많이 슬프셨겠어요.
오늘 친구 하나가 세상을 떠났어.	정말 가슴아픈 소식이네요.
어제 친구의 농담인거 뻔히 알면서도 화를 버럭 냈어.	가끔 농담으로 했다는 말이 상처가 되서 오기도 하지요. 어떤 농담을 들으셨기에 그러셨을까요?
이게 말이 돼.	무슨 일 있으신가요.
삼 년전에 산 부동산이 두배나 올랐어. 너무 좋아.	부동산 가격이 올라서 기쁘시군요.
건강을 과신해서 관리 안하던 친구의 장례식에 다녀왔어.	장례식에 다녀오셨군요.
노인정에서 김 씨 수술비를 위해 모금을 할 때 내지 않았는데 김 씨가 결국 세상을 떠났어.	주변 사람이 세상을 떠나 마음이 안 좋으시겠어요.
재정상태가 불안해.	왜 그러세요?
여태 모은 돈을 남편이 노름으로 다 날렸어. 앞으로도 계속 그럴 것 같은데 이제 난 어떻게 살아가야 할까?	남편 때문에 많이 속상하시군요.
오늘 아들에게 크게 실망하고 화가 났어. 내 재산을 마치 자신들의 것처럼 여겨서 말이야.	사용자님의 재산을 마치 자신들이 나눠 가질 현금처럼 말해서 화가 났군요.
퇴직할 나이가 되어서 그런지 점점 앞으로의 생활이 걱정이야.	퇴직할 나이가 돼서 앞으로의 생활이 걱정되시는군요. 어떤 게 가장 걱정되시나요?
대인 관계를 어떻게 해야 좋은 걸까?	무슨 일이세요?
돈 때문에 고민이야.	무슨 일이 있으셨나요?
아내의 말을 무시하고 친구들과 등갈비 먹으러 다녀왔는데 마음이 좀 불편하긴 하네. 그런데 아내도 심했어.	무슨 일인지 좀 더 자세히 말씀해 주실 수 있을까요?
고맙게도 사돈댁에서 건강식품을 잔뜩 보내주셨어.	건강식품을 잔뜩 보내주셨다니 너무 감사하겠어요.
친한 친구가 어제 죽어서 너무 슬프네.	친한 친구가 죽음은 정말 슬픈 일이라고 생각해요.
회사를 위해서 다른 동료보다 더 희생하면서 일했는데 지금 현재 남은 것은 고혈압과 명예퇴직뿐이야.	회사를 위해서 희생하면서 일하셨는데 많이 허탈 하실 거 같아요.
허리 디스크가 재발해서 다시 일자리를 그만두었어. 너무 힘들어.	건강 때문에 고민이 있으시군요. 많이 상심하셨겠어요.
이번에 산악 동호회에 가입했는데 굉장히 좋은 사람들인 거 같아.	산악 동호회 사람들이 마음에 드셨군요?
와이프가 일년전에 죽어서 혼자 지내고 있어.	그러시군요. 많이 외로우시겠어요.
내 아내가 움직이지 못하는 내 몸을 잡고 계속해서 울었어. 우는 내 아내를 보니 마음이 너무 아파.	우는 아내를 보니 마음이 아프시군요. 더 자세히 이야기해 주실 수 있나요?
내 재정상태가 너무 싫어.	왜 그러세요?
명절인데도 아무도 병문안을 오지 않아서 쓸쓸해.	명절인데 아무도 병문안을 오지 않아서 속상하고 쓸쓸하시겠어요.
자식들과 떨어져 사는데 안부 전화가 뜸하면 무슨 일 생긴 건 아닌지 걱정부터 들어.	자녀분들의 안부 전화가 뜸하면 무슨 일이 있는건 아닌지 걱정이 되시는군요.
노인정의 할머니들은 모두 자식들 자랑을 늘어놓았어.	자식들 자랑에 내심 속상하였겠어요.
지인이 동업하자고 해서 고민해 봤는데 나는 안 하려고.	지인의 동업 제안이 고민되셨군요. 어떤 상황인지 자세하게 말씀해주시겠어요?
귀농한 친구가 연락이닿지않아. 어떡하지?	무슨일 있으세요? 좀더 자세히 말씀하주세요.
중환자실에 연명하고 있는 환자를 생각하면 절망스러움이 느껴져 	중환자실의 환자들을 보면 마음이 아프시군요.
